order_id,order_date,status,item_id,sku,qty_ordered,price,value,Discount_Percent,discount_amount,category,payment_method,year,month,Gender,age,City,Reasons for cancelation and order refund
24869,10/29/2020,complete,584462,MEFCUR59ACC78EE5459,2,199.9,199.9,0.0,0.0,Men's Fashion,customercredit,2020,10,FEMALE,68,Cairo,No Cancelation or Refund
224006,04/29/2021,canceled,803682,OTHPCB5AB351EF2864B,4,50.0,150.0,0.0,0.0,Others,Easypay_MA,2021,4,FEMALE,72,Tanta,product did not match the description
43680,06/17/2021,canceled,848906,MATSAM5AAB5AEE5DBA7,2,2877.0,2877.0,11.60688217,33393.0,Mobiles & Tablets,Easypay,2021,6,FEMALE,40,Mansoura,product arrived too late
14239,11/05/2020,order_refunded,586872,MEFMUN59ACE5A1733DA,2,49.9,49.9,0.0,0.0,Men's Fashion,customercredit,2020,11,MALE,28,Mansoura,product defects
195374,03/24/2021,canceled,753549,MATINF5A7D8FD8D4881,2,1257.3,1257.3,17.95355126,22573.0,Mobiles & Tablets,Easypay,2021,3,MALE,73,Mansoura,product damaged during shipping
216018,04/16/2021,canceled,782897,MATSAM5A7D77487B6EF,2,1716.0,1716.0,18.82750583,32308.0,Mobiles & Tablets,Payaxis,2021,4,MALE,54,Mansoura,Arriving date has changed
37562,04/26/2021,received,796360,DET59F31AB0BCEDF,11,47.5,475.0,26.72842105,12696.0,Superstore,Easypay,2021,4,MALE,59,Cairo,No Cancelation or Refund
287,12/07/2020,order_refunded,607412,KABRUB59ACAE1948102,1,14.5,0.0,1.324137931,0.0,Kids & Baby,cod,2020,12,FEMALE,54,Cairo,product defects
78340,01/06/2021,complete,708278,MEFWIN59CE3A75A051B,2,99.9,99.9,0.0,0.0,Men's Fashion,cod,2021,1,FEMALE,65,Cairo,No Cancelation or Refund
212599,04/11/2021,complete,777059,MEFKAR5A7C138CE9EBD-M,2,104.0,104.0,0.0,0.0,Men's Fashion,cod,2021,4,FEMALE,55,Alexandria,No Cancelation or Refund
74611,12/20/2020,complete,628221,ALW59F057123CC17,4,20.8,62.4,36.17817308,2257.518,Superstore,Easypay,2020,12,FEMALE,56,Cairo,No Cancelation or Refund
28170,10/25/2020,received,583218,MEFKUR59ACC9B4512F3,2,84.9,84.9,0.0,0.0,Men's Fashion,cod,2020,10,FEMALE,63,Cairo,No Cancelation or Refund
27863,06/07/2021,received,837198,ROO5AE983F2751EA,2,228.0,228.0,14.5,3306.0,Superstore,jazzvoucher,2021,6,MALE,36,Tanta,No Cancelation or Refund
72026,12/13/2020,canceled,611504,MEFAYB59FAB695BD4A4-L,1,69.9,0.0,7.153075823,0.0,Men's Fashion,Easypay,2020,12,FEMALE,39,Alexandria,product did not meet the customer’s expectations
105247,05/05/2021,complete,819053,DET5A816ECB84C30,2,75.8,75.8,0.0,0.0,Superstore,cod,2021,5,MALE,61,Alexandria,No Cancelation or Refund
285243,09/19/2021,canceled,901649,APPGRE5B67F5009DFA5,2,5894.7,5894.7,0.0,0.0,Appliances,bankalfalah,2021,9,FEMALE,48,Cairo,product did not match the description
111330,06/29/2021,canceled,859553,JAZ5A5F32D397D60,4,44.6,133.8,34.61210762,4631.1,Superstore,Easypay_MA,2021,6,FEMALE,41,Cairo,product damaged during shipping
165875,01/20/2021,order_refunded,718536,BAGPRI5A327299C4F97,3,0.0,0.0,0.0,0.0,Beauty & Grooming,cod,2021,1,FEMALE,60,Al Sharqiya,product did not meet the customer’s expectations
225204,04/25/2021,canceled,793848,MEFZEW5AA236D1348D6-M,2,99.9,99.9,0.0,0.0,Men's Fashion,Easypay,2021,4,MALE,29,Mansoura,product did not match the description
196071,03/24/2021,canceled,754535,ENTNOB5A14947A21475,2,1583.3,1583.3,11.0,17416.3,Entertainment,easypay_voucher,2021,3,MALE,46,Cairo,product damaged during shipping
248690,05/28/2021,order_refunded,831117,APPSAM5A617F1E6E040,2,8937.5,8937.5,0.0,0.0,Appliances,bankalfalah,2021,5,FEMALE,34,Alexandria,product defects
197244,06/06/2021,canceled,836376,MATINF5AE312CA33899,2,1385.4,1385.4,10.64212502,14743.6,Mobiles & Tablets,jazzvoucher,2021,6,MALE,23,Cairo,product damaged during shipping
137806,12/27/2020,complete,675950,MATSAM59DB75A984259,2,1369.8,1369.8,16.57030223,22697.99999,Mobiles & Tablets,easypay_voucher,2020,12,FEMALE,28,Cairo,No Cancelation or Refund
25184,04/25/2021,complete,793377,APPPAN59E7AEA853E58,1,185.0,0.0,6.432432432,0.0,Appliances,easypay_voucher,2021,4,FEMALE,24,Cairo,No Cancelation or Refund
